product,price,weight,maker,description,img_src,servings,gpt_outputs,region,spicy,soupy,base
Yamadai New Touch T's Vegan Soy Sauce Ramen,3.45,53.0,yamadai,"Serve authentic instant noodles meat, fish and dairy free.",https://cdn.media.amplience.net/i/japancentre/17125-1-Yamadai-New-Touch-T's-Vegan-Soy-Sauce-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegan]",japan,no,yes,vegan
Nissin Cup Noodles Crab Ramen (Hong Kong),2.2,69.0,nissinfoods,Tasty seafood noodles ready in minutes.,https://cdn.media.amplience.net/i/japancentre/11155-1-nissin-cup-noodles-crab-ramen-(hong-kong)?w=569&h=569&sm=c&fmt=auto,1,"[Hong Kong, No, Yes, Seafood]",hongkong,no,yes,seafood
Nissin Cup Noodles XO Sauce Seafood Flavour Ramen (Hong Kong),2.2,75.0,nissinfoods,Slurp up an umami splash of tangy XO sauce seafood flavour.,https://cdn.media.amplience.net/i/japancentre/17935-1-Nissin-Cup-Noodles-XO-Sauce-Seafood-Flavour-Ramen-(Hong-Kong)?w=569&h=569&sm=c&fmt=auto,1,"[Hong Kong, No, Yes, Seafood]",hongkong,no,yes,seafood
Nissin Demae Iccho Sesame Chilli Oil Ramen (Hong Kong),0.89,100.0,nissinfoods,Ramen to warm the soul.,https://cdn.media.amplience.net/i/japancentre/10916-1-Nissin-Demae-Iccho-Sesame-Chilli-Oil-Ramen-(Hong-Kong)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, Yes, Vegetable]",japan,yes,yes,vegetable
Nissin Cup Noodles Chicken Flavour Ramen (Hong Kong),2.2,71.0,nissinfoods,Slurp up succulent chicken noodle flavour.,https://cdn.media.amplience.net/i/japancentre/16241-1-nissin-cup-noodles-chicken-flavour-ramen-(hong-kong)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
Itsuki Osaka Style Soy Sauce Tonkotsu Ramen,3.79,176.0,itsuki,AuthenticJapanese ramenfor your kitchen!,https://cdn.media.amplience.net/i/japancentre/18949-1-itsuki-osaka-style-soy-sauce-tonkotsu-ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Pork]",japan,no,yes,pork
Nissin Demae Iccho Beef Flavour Ramen,0.89,100.0,nissinfoods,A hearty serving of spicy beef ramen.,https://cdn.media.amplience.net/i/japancentre/16396-1-Nissin-Demae-Iccho-Five-Spice-Beef-Flavour-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, Yes, Beef]",japan,yes,yes,beef
Higashi Foods Kagoshima Style Spicy Tonkotsu Pork Stock Flavour Ramen,1.56,78.0,higashifoods,Succulent regional ramen in minutes.,https://cdn.media.amplience.net/i/japancentre/18097-1-Higashi-Foods-Kagoshima-Style-Spicy-Tonkotsu-Pork-Stock-Flavour-Ramen?w=569&h=569&sm=c&fmt=auto,5,"[Japan, Yes, Yes, Pork]",japan,yes,yes,pork
Higashimaru Vegan Samurai Meat Free Ramen,2.1,110.0,higashimaru,No meat. No MSG. No preservatives. Just a great umami flavour oframen noodles.,https://cdn.media.amplience.net/i/japancentre/13827-1-Higashimaru-Vegan-Samurai-Meat-Free-Ramen?w=569&h=569&sm=c&fmt=auto,2,"[Japan, No, Yes, Vegan]",japan,no,yes,vegan
"Nong Shim Udon, Big",1.85,111.0,nongshim,A big noodle bowl for big appetites.,https://cdn.media.amplience.net/i/japancentre/2791-1-nong-shim-udon?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, No, Yes, Vegetable]",southkorea,no,yes,vegetable
Nong Shim Neoguri Seafood & Spicy Ramen,1.25,120.0,nongshim,"Nong Shim instant ramen noodles are a Korean variety of noodle flavoured with spicy chilli. This packet of instant ramen noodles contains enough dried ramen for one serving, a selection of seafood and a sachet of hot and spicy Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes!",https://cdn.media.amplience.net/i/japancentre/2773-1-Nong-Shim-Neoguri-Seafood-and-spicy-ramen?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Seafood]",southkorea,yes,yes,seafood
Nong Shim Tempura Udon Noodle Soup,1.29,62.0,nongshim,Easy tempura udon noodles for lunch or a quick snack.,https://cdn.media.amplience.net/i/japancentre/15457-1-Nong-Shim-Tempura-Udon-Noodle-Soup?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Yamadai New Touch T's Vegan Tan-Tan Ramen Noodles,3.45,72.0,yamadai,"Authentic instant noodles meat, fish and dairy free.",https://cdn.media.amplience.net/i/japancentre/17094-1-Yamadai-New-Touch-T's-Vegan-Tan---Tan-Ramen-Noodles?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegan]",japan,no,yes,vegan
Yamadai Vegan Mushroom Cream Soup de Pasta Ramen Noodles,3.45,59.0,yamadai,"Savour the creamy richness of this mushroom cream soup pasta ramen, featuring a velvety texture without any dairy ingredients. Perfect for a quick and satisfying meal anytime, the ramen boasts a non-fried cooking method that ensures a perfect blend of flavours.",https://cdn.media.amplience.net/i/japancentre/19662-1-yamadai-vegan-mushroom-cream-soup-de-pasta-ramen-noodles?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegan]",japan,no,yes,vegan
Samyang Foods Buldak Carbonara Hot Chicken Flavour Ramen Multi-Pack,2.0,130.0,samyangfoods,"Samyang Buldak Carbonara Ramen combines bold Korean spice with creamy Italian flavours. Chewy noodles in a velvety, cheesy carbonara sauce deliver the perfect balance of heat and richness. The rich cream sauce balances the fiery heat of the original Buldak stir-fried noodles, making it a perfect choice even for those sensitive to spicy foods.",https://cdn.media.amplience.net/i/japancentre/19999-1-samyang-foods-buldak-carbonara-hot-chicken-flavour-ramen-multi---pack?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Garak Instant Kimchi Ramen,1.49,120.0,garak,A bold and savoury kimchi instant ramen.,https://cdn.media.amplience.net/i/japancentre/19111-1-garak-kimchi-flavour-ramen-noodle?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Vegetable]",southkorea,yes,yes,vegetable
Nong Shim Gourmet Spicy Shin Ramen Multipack,1.38,120.0,nongshim,A classic and beloved Korean ramen.,https://cdn.media.amplience.net/i/japancentre/4759-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen-Multipack?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, Yes, Beef]",southkorea,yes,yes,beef
Yamamoto Seifun Tanuki Oyaji no Ippin Tonkotsu Style Ramen Noodles,2.0,90.0,yamamotoseifun,"Savour the rich and creamy goodness of the Pork Bone Style Ramen, crafted with minimal allergens to ensure a satisfying dining experience. Each pack contains five servings of hearty, thick, and creamy broth, perfect for a comforting meal anytime.",https://cdn.media.amplience.net/i/japancentre/19609-1-yamamoto-seifun-tanuki-oyaji-no-ippin-tonkotsu-style-ramen-noodles?w=569&h=569&sm=c&fmt=auto,5,"[Japan, No, Yes, Pork]",japan,no,yes,pork
Nissin Demae Iccho Spicy Ramen (UK),0.89,100.0,nissinfoods,"Chewyramen noodles, with the fiery hot soup.",https://cdn.media.amplience.net/i/japancentre/11142-1-Nissin-Demae-Iccho-Spicy-Ramen-(UK)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, Yes, Chicken]",japan,yes,yes,chicken
"Nong Shim Gourmet Spicy Shin Ramen, Small",1.39,68.0,nongshim,One of Korea's most legendary instant ramen.,"https://cdn.media.amplience.net/i/japancentre/2727-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen,-Small?w=569&h=569&sm=c&fmt=auto",1,"[South Korea, Yes, Yes, Beef]",southkorea,yes,yes,beef
Samyang Foods Hot Chicken Flavoured Ramen Noodles Big Bowl,1.99,105.0,samyangfoods,Super spicy chicken flavoured ramen to burn your hunger away.,"https://cdn.media.amplience.net/i/japancentre/15460-1-Samyang-Foods-Hot-Chicken-Flavoured-Ramen-Noodles,-Big-Bowl (2)?w=569&h=569&sm=c&fmt=auto",1,"[South Korea, Yes, Yes, Chicken]",southkorea,yes,yes,chicken
Nissin Cup Noodle Original,3.89,78.0,nissinfoods,"The standard handy cup noodle for those on the go. From the land that invented the instant noodle, these pots contain a snack portion of noodles and sauce  all ready to be eaten on the go, or as an instant filler. Ready in 3 minutes after adding boiling water, it really could not be simpler.",https://cdn.media.amplience.net/i/japancentre/586-1-nissin-cup-noodle-original?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
Higashimaru Samurai Ramen,4.2,220.0,higashimaru,"Bring the irresistible aroma of street-styleyakisobainto your home with our animal-free yakisoba noodles. Effortlessly recreate the delicious flavours of your favourite food stall yakisoba in your own kitchen. Just add your choice of vegetables or seafood to enhance the taste even further. Each pack contains enough for 5 servings, ensuring there's plenty to go around for the whole family to enjoy.",https://cdn.media.amplience.net/i/japancentre/19644-1-higashimaru-samurai-ramen---red?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, No, Vegan]",japan,no,no,vegan
Hikari Miso Menraku Vegetarian Miso Ramen Noodles,2.0,93.0,hikarimiso,"A flavourfulramenthat doesn't contain any animal-derived ingredients. Crafted using only vegetables, it brings out rich umami flavours, offering a hearty miso-style ramen experience.",https://cdn.media.amplience.net/i/japancentre/19661-1-hikari-miso-menraku-vegetarian-miso-ramen-noodles?w=569&h=569&sm=c&fmt=auto,2,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Nong Shim Kimchi Ramen Multipack,1.26,120.0,nongshim,Featuring the rich flavours of crunchy Napa cabbage kimchi with a mild level of spiciness.,https://cdn.media.amplience.net/i/japancentre/18733-1-Nong-Shim-Kimchi-Ramyun-Multi-Pack?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, Yes, Vegetable]",southkorea,yes,yes,vegetable
Yamadai Vegan Tomato Soup de Pasta Ramen Noodles,2.93,57.0,yamadai,"Enjoy the rich flavour of fully ripened tomatoes packed into a hearty ramen soup. Made with non-fried ramen pasta that absorbs the delicious tomato soup, this dish is perfect for a quick and satisfying meal anytime.",https://cdn.media.amplience.net/i/japancentre/19663-1-yamadai-vegan-tomato-soup-de-pasta-ramen-noodles?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegan]",japan,no,yes,vegan
Higashimaru Tonkotsu Kagoshima Ramen,1.56,78.0,higashimaru,Indulge in the savoury goodness offlavoured ramen noodles.,https://cdn.media.amplience.net/i/japancentre/19648-1-higashimaru-tonkotsufu-kagoshima-ramen?w=569&h=569&sm=c&fmt=auto,5,"[Japan, No, Yes, Pork]",japan,no,yes,pork
Samyang Foods Extra Spicy Hot Chicken Flavoured Ramen Big Bowl,2.2,105.0,samyangfoods,An instant stir fry inferno of spice and flavour.,https://cdn.media.amplience.net/i/japancentre/16011-1-Samyang-Foods-Extra-Spicy-Hot-Chicken-Flavoured-Ramen?w=250&h=250&sm=c&fmt=auto,1,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Nissin Cup Noodles Seafood Noodle,3.89,75.0,nissinfoods,Tastyinstant noodlesfor a quick and easy meal.,https://cdn.media.amplience.net/i/japancentre/5387-1-nissin-cup-noodles-seafood-noodle?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Seafood]",japan,no,yes,seafood
Garak Instant Seafood Ramen,1.49,120.0,garak,A flavourful instant ramen with seafood-inspired ingredients.,https://cdn.media.amplience.net/i/japancentre/19112-1-garak-seafood-flavour-ramen-noodle?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, No, Yes, Seafood]",southkorea,no,yes,seafood
Higashimaru Yakisoba Instant Noodles,1.56,82.0,higashimaru,"Bring the irresistible aroma of street-style yakisoba into your home with our animal-free yakisoba noodles. Effortlessly recreate the delicious flavors of your favorite food stall yakisoba in your own kitchen. Just add your choice of vegetables or seafood to enhance the taste even further. Each pack contains enough for 5 servings, ensuring there's plenty to go around for the whole family to enjoy.",https://cdn.media.amplience.net/i/japancentre/19645-1-higashimaru-yakisoba-instant-noodles?w=569&h=569&sm=c&fmt=auto,5,"[Japan, No, No, Vegan]",japan,no,no,vegan
Nong Shim Neoguri Seafood And Spicy Noodle,6.29,600.0,nongshim,Instant noodles with intense flavour.,https://cdn.media.amplience.net/i/japancentre/10938-1-Nong-Shim-Neoguri-Seafood-And-Spicy-Noodle?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Seafood]",southkorea,yes,yes,seafood
Nong Shim Gourmet Spicy Shin Ramen,1.39,120.0,nongshim,Nong Shim instant ramen noodles are a Korean variety of noodle flavoured with spicy chilli. This packet of instant ramen noodles contains enough dried ramen for one serving and a sachet of hot and spicy Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/2214-1-Nong-Shim-Gourmet-Spicy-Shin-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Pork]",southkorea,yes,yes,pork
Nissin Big Soba Noodles with Chilli Yakisoba Sauce,2.49,115.0,nissinfoods,"Spicy instant wok-style soba noodles, big-size.",https://cdn.media.amplience.net/i/japancentre/18679-1-Nissin-Soba-Big-Cup-Chilli?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, No, Vegetable]",japan,yes,no,vegetable
Nissin Big Soba Noodles with Chilli Yakisoba Sauce,2.49,113.0,nissinfoods,"Enjoy the savory-sweet taste of teriyaki-flavored sauce coating the noodles in this generously sized cup yakisoba. With its satisfying crunch and delicious aroma, it's perfect for lunch or anytime you're craving a filling meal, enjoy tastyyakisobaanywhere.",https://cdn.media.amplience.net/i/japancentre/18681-1-Nissin-Soba-Big-Cup-Teriyaki?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, No, Vegetable]",japan,yes,no,vegetable
Nissin Soba Fried Noodles Classic Yakisoba (UK),1.25,109.0,nissinfoods,Savouryyakisobaready in minutes.,https://cdn.media.amplience.net/i/japancentre/11145-1-Nissin-Soba-Fried-Noodles-Classic-Yakisoba?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, No, Vegetable]",japan,no,no,vegetable
Samyang Foods Buldak Extremely Spicy Hot Chicken Flavoured Ramen Noodles Multi-Pack,1.34,140.0,samyangfoods,Super spicy chicken flavoured stir fried to burn your hunger away.,https://cdn.media.amplience.net/i/japancentre/15449-1-Samyang-Foods-Extremely-Spicy-Hot-Chicken-Buldok-Ramen-Multi-Pack?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Nong Shim Soon Veggie Ramyun Noodles,1.39,112.0,nongshim,"Enjoy a clean, refreshing flavour crafted entirely from vegetables. Free from meat ingredients, this ramyun offers a lighter, more delicate taste compared to traditional varieties. Its mild spice level makes it perfect for those who prefer a gentle, savoury experience.",https://cdn.media.amplience.net/i/japancentre/19988-1-nong-shim-soon-veggie-ramyun-noodles?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Vegetable]",southkorea,yes,yes,vegetable
Otafuku Yaki-Udon Stir-Fry Noodles with Sauce,2.89,420.0,otafuku,"Satisfy your hunger with these chewy and hearty stir-fried udon noodles. Coated in a rich, sweet sauce made from a blend of vegetables and fruits, they're perfect for a flavorful meal.",https://cdn.media.amplience.net/i/japancentre/19910-1-otafuku-yaki---udon-stir---fry-noodles-with-sauce?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, No, Vegetable]",japan,no,no,vegetable
Samyang Foods Buldak Hot Chicken Flavour Double Spicy Ramen Multipack,1.36,140.0,samyangfoods,A tantalizingly spicy chicken-flavoured ramen that will leave you craving for more.,https://cdn.media.amplience.net/i/japancentre/18759-1-samyang-foods-hot-chicken-ramen-double-spicy-multi-pack?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Nissin Big Soba Noodles with Classic Yakisoba Sauce,2.49,113.0,nissinfoods,The taste of Japan's iconic yakisoba flavour in a convenient instant cup format.,https://cdn.media.amplience.net/i/japancentre/18680-1-Nissin-Soba-Big-Cup-Classic?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Samyang Foods Spicy Flavoured Cup Ramen Noodles,1.39,65.0,samyangfoods,Chewyramen noodleswith Samyang's original spicy flavour tast.,https://cdn.media.amplience.net/i/japancentre/16424-1-Samyang-Foods-Spicy-Flavoured-Cup-Ramen-Noodles?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Vegetable]",southkorea,yes,yes,vegetable
Nong Shim Soon Veggie Noodle,1.29,67.0,nongshim,Savoury flavour with no meat needed.,https://cdn.media.amplience.net/i/japancentre/10935-1-Nong-Shim-Soon-Veggie-Noodle?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, No, Yes, Vegetable]",southkorea,no,yes,vegetable
Samyang Foods Buldak Instant Hot Chicken Flavour Ramen With Kimchi,1.29,135.0,samyangfoods,Tantalisingly spicy and tangy ramen.,https://cdn.media.amplience.net/i/japancentre/18137-1-Samyang-Foods-Instant-Hot-Chicken-Flavour-Ramen-With-Kimchi?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, Yes, Chicken]",southkorea,yes,yes,chicken
Nong Shim Kimchi Noodle Soup Ramen (Kimuchi Ramen),1.25,120.0,nongshim,Nong Shim instant ramen noodles are a Korean brand of noodle flavoured with spicy chilli. This packet of instant ramen noodles contains enough dried ramen for one serving and a sachet of hot and spicy kimchi flavour Korean chilli sauce to make the soup. Easily enjoy the tastyramen noodlesin a few minutes.,https://cdn.media.amplience.net/i/japancentre/2797-1-Nong-Shim-Kimchi-Noodle-Soup-Ramen-(Kimuchi-Ramen)?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, Yes, Vegan]",southkorea,yes,yes,vegan
Garak Stir Fried Hot Chicken Ramen,1.49,130.0,garak,"Experience intense heat and savoury flavour with this instant Korean hot chicken ramen. Quick to prepare, these chewy noodles bring bold spice to every bite. Ideal for fans of spicy food, its a satisfying and flavourful meal that delivers top-notch taste in minutes.",https://cdn.media.amplience.net/i/japancentre/19823-1-garak-carbo-stir-fried-hot-chicken-ramen?w=250&h=250&sm=c&fmt=auto,1,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Nissin Cup Noodle Curry Flavour,3.89,87.0,nissinfoods,"Cup noodles with firm noodles and a mild, thick curry soup with a sweet vegetable flavour.",https://cdn.media.amplience.net/i/japancentre/18954-1-nissin-cup-noodle-curry-flavour_1?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Nissin Soba Fried Noodles Teriyaki Yakisoba (UK),1.25,110.0,nissinfoods,A meatieryakisobaflavour.,https://cdn.media.amplience.net/i/japancentre/11146-1-Nissin-Soba-Fried-Noodles-Teriyaki-Yakisoba-(UK)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Vegetable]",japan,no,yes,vegetable
Yamamoto Seifun Tanuki Oyaji no Ippin Super Spicy Mazemen Yakisoba Noodles,2.0,88.0,yamamotoseifun,"This yakisoba noodles is characterised by its distinctive firm noodles and the addictive, numbing spiciness of its Sichuan pepper and chilli.",https://cdn.media.amplience.net/i/japancentre/19616-1-yamamoto-seifun-tanuki-oyaji-no-ippin-super-spicy-mazemen-noodles?w=569&h=569&sm=c&fmt=auto,5,"[Japan, Yes, No, Vegetable]",japan,yes,no,vegetable
Garak Carbo Stir Fried Hot Chicken Ramen,1.22,145.0,garak,"Indulge in a deliciously creamy, spicy twist with this Korean-style hot chicken ramen, featuring rich cheese flavour and great heat. Its chewy noodles and bold seasoning make it a perfect choice for those craving a unique, comforting meal with a kick. Ready in minutes, it brings satisfying spice and savoury depth to your taste buds.",https://cdn.media.amplience.net/i/japancentre/19823-2-garak-carbo-stir-fried-hot-chicken-ramen?w=569&h=569&sm=c&fmt=auto,5,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Samyang Foods Extra Spicy Hot Chicken Flavoured Ramen,1.59,70.0,samyangfoods,An extra spicy hot chicken stir fry sensation.,https://cdn.media.amplience.net/i/japancentre/16011-1-Samyang-Foods-Extra-Spicy-Hot-Chicken-Flavoured-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[South Korea, Yes, No, Chicken]",southkorea,yes,no,chicken
Nissin Soba Fried Noodles Chilli Yakisoba (UK),1.25,111.0,nissinfoods,A spicier type of fried noodle.,https://cdn.media.amplience.net/i/japancentre/11148-1-Nissin-Soba-Fried-Noodles-Chilli-Yakisoba-(UK)?w=569&h=569&sm=c&fmt=auto,1,"[Japan, Yes, No, Vegetable]",japan,yes,no,vegetable
Nissin Raoh Instant Yuzu and Salt Ramen,2.33,93.0,nissinfoods,"Made with carefully selected ingredients, including yuzu peel from Kochi Prefecture, this yuzu shio ramen features a savoury broth packed with the richness of chicken and kombu. The refreshing aroma of Kochi yuzu peel enhances every bite.",https://cdn.media.amplience.net/i/japancentre/20034-1-nissin-raoh-instant-yuzu-and-salt-ramen?w=569&h=569&sm=c&fmt=auto,3,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
Hikari Menraku Japanese Chicken Paitan Ramen,1.94,80.0,hikarimiso,"This cup ramen combines the deep umami of chicken with a creamy, thick broth for an exceptional taste experience. Enjoy the concentrated flavour that mimics hours of slow-cooked chicken, perfect for a satisfying meal anytime.",https://cdn.media.amplience.net/i/japancentre/19927-1-hikari-menraku-japanese-chicken-paitan-ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
Nissin Demae Iccho Chicken Ramen (UK),0.89,100.0,nissinfoods,Chewyramen noodleswith fresh chicken soup.,https://cdn.media.amplience.net/i/japancentre/11140-1-Nissin-Demae-Iccho-Chicken-Ramen?w=569&h=569&sm=c&fmt=auto,1,"[Japan, No, Yes, Chicken]",japan,no,yes,chicken
